artist,genres
Boosie BadAzz,"['Hip hop', 'Southern hip hop', 'gangsta rap']"
BrockHampton,"['Hip hop', 'pop-rap', 'alternative R&B', 'alternative hip hop']"
DJ Khaled,['Hip hop']
Drake,"['Hip hop', 'R&B', 'pop', 'dancehall']"
Eminem,['Hip hop']
Future,"['Hip hop', 'trap', 'R&B']"
G-Eazy,"['Hip hop', 'alternative hip hop', 'hyphy']"
Gucci Mane,"['Hip hop', 'trap']"
J. Cole,['Hip hop']
Jeezy,['Hip hop']
Kanye West,['Hip hop']
Kendrick Lamar,['Hip hop']
Kevin Gates,['Hip hop']
Kodak Black,['Hip hop']
Lil Uzi Vert,"['Hip hop', 'trap', 'cloud rap', 'emo rap', 'lo-fi', 'mumble rap']"
Lil Yachty,"['Hip hop', 'trap', 'mumble rap']"
Logic,['Hip hop']
Mac Miller,['Hip hop']
Machine Gun Kelly,['Hip hop']
Migos,"['Hip hop', 'trap']"
Moneybagg Yo,['Hip hop']
NAV,"['Hip hop', 'trap', 'R&B']"
NF,"['Hip hop', 'Christian hip hop']"
Nicki Minaj,"['Hip hop', 'R&B', 'pop', 'EDM']"
Playboi Carti,"['Hip hop', 'trap', 'mumble rap']"
Post Malone,"['Hip hop', 'rap rock', 'R&B', 'pop']"
Russ,"['Hip hop', 'alternative hip hop', 'R&B']"
Tech N9ne,"['Hip hop', 'rap rock']"
Travis Scott,"['Hip hop', 'trap']"
Wiz Khalifa,['Hip hop']
Yo Gotti,['Hip hop']
YoungBoy Never Broke Again,['Hip hop']
