artist,genres
2 Chainz,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
2Pac,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']"
A$AP Ferg,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']"
A$AP Mob,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop', 'vapor trap']"
A$AP Rocky,"['east coast hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'trap music']"
Andy Mineo,['christian hip hop']
Atmosphere,"['alternative hip hop', 'conscious hip hop', 'hip hop', 'pop rap']"
B.o.B,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop']"
Big Sean,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
Blu,['uk funky']
Boosie BadAzz,"['deep southern trap', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
BrockHampton,"['boy band', 'hip hop', 'indie r&b', 'rap']"
Brotha Lynch Hung,"['dirty south rap', 'gangster rap', 'hip hop', 'horrorcore', 'hyphy', 'west coast rap', 'west coast trap']"
Cardi B,"['pop', 'rap']"
Chief Keef,"['drill', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop', 'vapor trap']"
Colt Ford,"['contemporary country', 'country', 'country rap', 'country road', 'modern country rock', 'redneck']"
Common,"['alternative hip hop', 'conscious hip hop', 'dirty south rap', 'gangster rap', 'hardcore hip hop', 'hip hop', 'neo soul', 'pop rap', 'rap', 'southern hip hop']"
Danny Brown,"['alternative hip hop', 'detroit hip hop', 'escape room', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'underground hip hop']"
Dave East,"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
Derek Minor,"['christian hip hop', 'christian trap']"
Dizzy Wright,"['conscious hip hop', 'deep underground hip hop', 'hip hop', 'indie pop rap', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']"
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
E-40,"['dirty south rap', 'gangster rap', 'hip hop', 'hyphy', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'west coast rap']"
Earl Sweatshirt,"['alternative hip hop', 'escape room', 'hip hop', 'rap', 'underground hip hop']"
Eminem,"['detroit hip hop', 'g funk', 'hip hop', 'rap']"
Fetty Wap,"['pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
French Montana,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
Future,"['pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
G-Eazy,"['hip hop', 'indie pop rap', 'pop', 'pop rap', 'rap']"
Gucci Mane,"['dirty south rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
Hopsin,"['conscious hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
Iggy Azalea,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b']"
Isaiah Rashad,"['hip hop', 'indie r&b', 'pop rap', 'rap', 'southern hip hop', 'underground hip hop']"
J. Cole,"['conscious hip hop', 'hip hop', 'pop rap', 'rap']"
JAY-Z,"['bulgarian hip hop', 'east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
Jay Rock,"['conscious hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']"
Jeezy,"['crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
Joe Budden,"['battle rap', 'dirty south rap', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'trap music']"
Joey Bada$$,"['conscious hip hop', 'hip hop', 'pop rap', 'rap', 'underground hip hop']"
Kanye West,"['pop rap', 'rap']"
