artist,track
2 Chainz,70
2Pac,26
A$AP Ferg,50
A$AP Mob,30
A$AP Rocky,54
Andy Mineo,31
Atmosphere,49
B.o.B,35
Big Sean,53
Blu,21
Boosie BadAzz,94
BrockHampton,30
Brotha Lynch Hung,22
Cardi B,31
Chief Keef,32
Colt Ford,37
Common,31
Danny Brown,36
Dave East,31
Derek Minor,30
Dizzy Wright,29
Drake,136
E-40,32
Earl Sweatshirt,30
Eminem,105
Fetty Wap,22
French Montana,40
Future,120
G-Eazy,57
Gucci Mane,77
Hopsin,34
Iggy Azalea,27
Isaiah Rashad,35
J. Cole,63
JAY-Z,34
Jay Rock,25
Jeezy,68
Joe Budden,31
Joey Bada$$,33
Kanye West,41
Kendrick Lamar,71
Kevin Gates,83
Kid Cudi,50
Kid Ink,38
Kodak Black,55
Lecrae,63
Lil Dicky,21
Lil Uzi Vert,41
Lil Wayne,67
Lil Yachty,56
Logic,79
Lupe Fiasco,52
Mac Miller,97
Machine Gun Kelly,43
Meek Mill,48
Migos,79
Mike Stud,37
Mobb Deep,32
Moneybagg Yo,33
NAV,24
NF,44
Nas,28
Nicki Minaj,72
Pharoahe Monch,22
Pink Guy,36
Pitbull,32
Playboi Carti,35
Post Malone,37
Pusha T,28
Rae Sremmurd,30
Rick Ross,94
Rittz,68
Run The Jewels,34
Russ,21
ScHoolboy Q,45
Snoop Dogg,22
Starbomb,27
Swollen Members,26
T.I.,40
Tech N9ne,89
The Game,94
The Lacs,41
Tory Lanez,50
Travis Scott,47
Trip Lee,26
"Tyler, The Creator",48
Upchurch,29
Various Artists,94
Vince Staples,29
Wale,53
Watsky,33
Wisin,43
Wiz Khalifa,89
YG,53
Yo Gotti,54
Young Thug,58
YoungBoy Never Broke Again,55
Z-Ro,30
