artist,album
T.I.,Trouble Man: Heavy Is The Head
T.I.,Paperwork
T.I.,Da' Nic (EP)
T.I.,Us Or Else (EP)
Chief Keef,Finally Rich
Chief Keef,Bang 3
The Game,Jesus Piece
The Game,The Documentary 2
The Game,The Documentary 2.5
The Game,Blood Moon: Year Of The Wolf
The Game,1992
Kendrick Lamar,"good kid, m.A.A.d city"
Kendrick Lamar,To Pimp A Butterfly
Kendrick Lamar,untitled unmastered.
Kendrick Lamar,DAMN.
Wiz Khalifa,O.N.I.F.C.
Wiz Khalifa,Blacc Hollywood
Wiz Khalifa,Khalifa
Wiz Khalifa,Rolling Papers 2
Wiz Khalifa,"Laugh Now, Fly Later"
Pitbull,Global Warming
Pitbull,Meltdown EP
Pitbull,Globalization
2 Chainz,Based On A T.R.U. Story
2 Chainz,B.O.A.T.S. II #METIME
2 Chainz,ColleGrove
2 Chainz,Pretty Girls Like Trap Music
Macklemore & Ryan Lewis,The Heist
Macklemore & Ryan Lewis,This Unruly Mess I've Made
Nicki Minaj,Pink Friday: Roman Reloaded
Nicki Minaj,The Pinkprint
Nicki Minaj,Queen
Big Boi,Vicious Lies And Dangerous Rumors
Flo Rida,Wild Ones
Flo Rida,My House (EP)
Meek Mill,Dreams And Nightmares
Meek Mill,Dreams Worth More Than Money
Meek Mill,Wins And Losses
Meek Mill,DC4
Lecrae,Gravity
Lecrae,Church Clothes: Vol. 2
Lecrae,Anomaly
Lecrae,Church Clothes 3
Various Artists,Kanye West Presents GOOD Music Cruel Summer
Various Artists,ShadyXV
Various Artists,Revenge Of The Dreamers II
Various Artists,The Hamilton Mixtape
Various Artists,"Quality Control: Control The Streets, Vol. 1"
Various Artists,Epic Lit (Version 3)
Various Artists,Mud Digger: Volume 5
Various Artists,EPIC AF (Yellow/Pink)
Various Artists,Mud Digger 4
Various Artists,Rich Gang
Various Artists,Young Stoner Life: Slime Language
Various Artists,"Maybach Music Group Presents: Self Made, Vol. 3"
Various Artists,"Mud Digger, Volume 6"
Various Artists,"Mud Digger, Volume 7"
Future,Pluto
Future,DS2
Future,EVOL
Future,FUTURE
Future,HNDRXX
Future,Honest
Future,BEASTMODE 2
MGK,Lace Up
Drake,Take Care
Drake,Nothing Was The Same
Drake,If You're Reading This It's Too Late
Drake,Views
Drake,More Life
Drake,Scorpion
Rick Ross,"God Forgives, I Don't"
Rick Ross,Hood Billionaire
Rick Ross,Black Market
Rick Ross,Mastermind
Rick Ross,Rather You Than Me
Colt Ford,Declaration Of Independence
Colt Ford,Thanks For Listening
Colt Ford,Answer To No One: The Colt Ford Classics
Lil Wayne,Tha Carter IV
Lil Wayne,I Am Not A Human Being II
Lil Wayne,Tha Carter V
Jay Z Kanye West,Watch The Throne
Soundtrack,Project X
Soundtrack,Creed
Soundtrack,Straight Outta Compton: Music From The Motion Picture
Soundtrack,Bright: The Album
Soundtrack,Furious 7
Soundtrack,"Black Panther: The Album, Music From And Inspired By"
Soundtrack,The Fate Of The Furious: The Album
Soundtrack,Neighbors
Soundtrack,Fast & Furious 6
Soundtrack,Southpaw: Music From And Inspired By The Motion Picture
Nas,Life Is Good
Nas,Nasir
Lupe Fiasco,Food & Liquor II: The Great American Rap Album Pt. 1
Lupe Fiasco,Tetsuo & Youth
Lupe Fiasco,DROGAS Light
B.o.B,Strange Clouds
B.o.B,Underground Luxury
B.o.B,Elements: Water Fire Earth Air
B.o.B,Psycadelik Thoughtz
Eminem,The Marshall Mathers LP 2
Eminem,Revival
Eminem,Curtain Call: The Hits
Eminem,The Eminem Show
Eminem,Kamikaze
Childish Gambino,Because The Internet
Childish Gambino,Kauai (EP)
Starbomb,Starbomb
Starbomb,Player Select
Yo Gotti,I Am
Yo Gotti,White Friday (CM9)
Yo Gotti,The Art Of Hustle
Yo Gotti,I Still Am
The Lox,The Trinity (EP)
The Lox,Filthy America...It's Beautiful
Kanye West,Yeezus
Kanye West,The Life Of Pablo
Kanye West,ye
JAY-Z,Magna Carta... Holy Grail
JAY-Z,4:44
Mac Miller,Live From Space
Mac Miller,GO:OD AM
Mac Miller,The Divine Feminine
Mac Miller,Watching Movies With The Sound Off
Mac Miller,Blue Slide Park
Mac Miller,Swimming
Juicy J,Stay Trippy
Pusha T,My Name Is My Name
Pusha T,King Push: Darkest Before Dawn: The Prelude
J. Cole,Born Sinner
J. Cole,2014 Forest Hills Drive
J. Cole,4 Your Eyez Only
J. Cole,KOD
M.I.A.,Matangi
M.I.A.,AIM
A$AP Rocky,Long.Live.A$AP
A$AP Rocky,AT.LONG.LAST.A$AP
A$AP Rocky,Testing
Wale,The Gifted
Wale,The Album About Nothing
Wale,SHINE
E-40,The Block Brochure: Welcome To The Soil 4
E-40,The Block Brochure: Welcome To The Soil 5
Kevin Gates,Luca Brasi 2: A Gangsta Grillz Special Edition
Kevin Gates,Islah
Kevin Gates,By Any Means
Kevin Gates,Murder For Hire II
Kevin Gates,Stranger Than Fiction
Kevin Gates,By Any Means 2
Kevin Gates,Luca Brasi 3
YG,Blame It On The Streets (Soundtrack)
YG,My Krazy Life
YG,Still Brazy
YG,Stay Dangerous
Iggy Azalea,The New Classic
Iggy Azalea,Reclassified
Wu-Tang Clan,A Better Tomorrow
Logic,Under Pressure
Logic,The Incredible True Story
Logic,Bobby Tarantino II
Logic,Everybody
Logic,Bobby Tarantino
G-Eazy,These Things Happen
G-Eazy,When It's Dark Out
G-Eazy,The Beautiful & Damned
PRhyme,PRhyme
Ghostface Killah,36 Seasons
Ghostface Killah,Adrian Younge Presents: Twelve Reasons To Die
Ghostface Killah,Adrian Younge Presents: Twelve Reasons To Die II
Kalin And Myles,Dedication (EP)
Kalin And Myles,Chase Dreams (EP)
Jeezy,Seen It All: The Autobiography
Jeezy,Church In These Streets
Jeezy,Trap Or Die 3
Jeezy,Pressure
Starlito,Black Sheep Don't Grin
Run The Jewels,Run The Jewels 2
Run The Jewels,Run The Jewels 3
Run The Jewels,Run The Jewels (EP)
Big K.R.I.T.,Cadillactica
Original Broadway Cast Recording,Hamilton: An American Musical
Fetty Wap,Fetty Wap
Jadakiss,Top 5 Dead Or Alive
Arcangel & DJ Luian,Los Favoritos
Drake & Future,What A Time To Be Alive
Curren$Y,Canal Street Confidential
Travis Scott,Rodeo
Travis Scott,Birds In The Trap Sing McKnight
Travis Scott,ASTROWORLD
Dr. Dre,Compton
Tech N9ne Collabos,Strangeulation II
Tech N9ne Collabos,Strangeulation
Tech N9ne Collabos,Strange Reign
Ty Dolla $ign,Free TC
Ty Dolla $ign,Beach House 3
Pimp C,Long Live The Pimp
Machine Gun Kelly,General Admission
Machine Gun Kelly,bloom
Machine Gun Kelly,BINGE
Kid Cudi,"Passion, Pain & Demon Slayin'"
Kid Cudi,SATELLITE FLIGHT: The journey to Mother Moon
Kid Cudi,Indicud
Gucci Mane,The Return Of East Atlanta Santa
Gucci Mane,Everybody Looking
Gucci Mane,Mr. Davis
Gucci Mane,Droptopwop
Gucci Mane,Trap House 3
A Tribe Called Quest,We Got It From Here...Thank You 4 Your Service
Tech N9ne,The Storm
Tech N9ne,Something Else
Tech N9ne,Special Effects
Post Malone,Stoney
Post Malone,beerbongs & bentleys
Rae Sremmurd,Sremmlife 2
Rae Sremmurd,SremmLife
Berner,Packs
Trip Lee,The Waiting Room
Trip Lee,Rise
NF,Therapy Session
NF,Perception
NF,Mansion
DJ Khaled,Major Key
DJ Khaled,Grateful
DJ Khaled,Suffering From Success
DJ Khaled,I Changed A Lot
Flatbush Zombies,3001: A Laced Odyssey
BrockHampton,Saturation III
