artist,album,track
2 Chainz,ColleGrove,Not Invited
2 Chainz,Based On A T.R.U. Story,Money Machine
2 Chainz,ColleGrove,MF'N Right
2 Chainz,ColleGrove,100 Joints
2 Chainz,Based On A T.R.U. Story,I'm Different
2 Chainz,B.O.A.T.S. II #METIME,Outroduction
2 Chainz,B.O.A.T.S. II #METIME,Fork
2 Chainz,B.O.A.T.S. II #METIME,36
2 Chainz,Based On A T.R.U. Story,I Feel Good
2 Chainz,B.O.A.T.S. II #METIME,U Da Realest
2 Chainz,B.O.A.T.S. II #METIME,Used 2
2 Chainz,Based On A T.R.U. Story,Crack
2 Chainz,Pretty Girls Like Trap Music,Sleep When U Die
2 Chainz,Based On A T.R.U. Story,Dope Peddler
2 Chainz,B.O.A.T.S. II #METIME,Mainstream Ratchet
2 Chainz,Pretty Girls Like Trap Music,Door Swangin
2 Chainz,Pretty Girls Like Trap Music,Rolls Royce Bitch
2 Chainz,Based On A T.R.U. Story,Riot
2 Chainz,Pretty Girls Like Trap Music,Saturday Night
2 Chainz,ColleGrove,Dedication
A$AP Rocky,Testing,OG Beeper
A$AP Rocky,Testing,Tony Tone
A$AP Rocky,AT.LONG.LAST.A$AP,JD
A$AP Rocky,Long.Live.A$AP,Jodye
A$AP Rocky,AT.LONG.LAST.A$AP,Better Things
A$AP Rocky,Testing,Distorted Records
A$AP Rocky,Long.Live.A$AP,Fashion Killa
A$AP Rocky,Long.Live.A$AP,Suddenly
A$AP Rocky,Long.Live.A$AP,Long.Live.A$AP
A$AP Rocky,AT.LONG.LAST.A$AP,Lord Pretty Flacko Jodye 2 (LPFJ2)
A$AP Rocky,Testing,"Black Tux, White Collar"
A$AP Rocky,Testing,Kids Turned Out Fine
A$AP Rocky,Long.Live.A$AP,Goldie
A$AP Rocky,AT.LONG.LAST.A$AP,L$D
A$AP Rocky,AT.LONG.LAST.A$AP,Dreams (Interlude)
A$AP Rocky,Long.Live.A$AP,Angels
A$AP Rocky,AT.LONG.LAST.A$AP,Excuse Me
A$AP Rocky,Long.Live.A$AP,Phoenix
A$AP Rocky,Testing,Changes
A$AP Rocky,Long.Live.A$AP,LVL
Atmosphere,Southsiders,I Don't Need No Fancy Shit
Atmosphere,Southsiders,Star Shaped Heart
Atmosphere,Southsiders,Bitter (Instrumental)
Atmosphere,Southsiders,I Love You Like A Brother
Atmosphere,Southsiders,My Lady Got Two Men
Atmosphere,Fishing Blues,Everything
Atmosphere,Southsiders,Mrs. Interpret
Atmosphere,Southsiders,Kanye West
Atmosphere,Southsiders,Kanye West (Instrumental)
