artist,album,track
T.I.,Trouble Man: Heavy Is The Head,The Introduction
T.I.,Trouble Man: Heavy Is The Head,G Season (Ft. Meek Mill)
T.I.,Trouble Man: Heavy Is The Head,Trap Back Jumping
T.I.,Trouble Man: Heavy Is The Head,Wildside (Ft. A$AP Rocky)
T.I.,Trouble Man: Heavy Is The Head,Ball (Ft. Lil Wayne)
T.I.,Trouble Man: Heavy Is The Head,Sorry (Ft. André 3000 & Stacy Barthe)
T.I.,Trouble Man: Heavy Is The Head,Can You Learn (Ft. R. Kelly)
T.I.,Trouble Man: Heavy Is The Head,Go Get It
T.I.,Trouble Man: Heavy Is The Head,Guns and Roses (Ft. P!nk)
T.I.,Trouble Man: Heavy Is The Head,The Way We Ride
T.I.,Trouble Man: Heavy Is The Head,Cruisin'
T.I.,Trouble Man: Heavy Is The Head,Addresses
T.I.,Trouble Man: Heavy Is The Head,Hello (Ft. CeeLo Green)
T.I.,Trouble Man: Heavy Is The Head,Who Want Some
T.I.,Trouble Man: Heavy Is The Head,Wonderful Life (Ft. Akon)
T.I.,Trouble Man: Heavy Is The Head,Hallelujah
T.I.,Trouble Man: Heavy Is The Head,Love This Life
T.I.,Trouble Man: Heavy Is The Head,Like That
T.I.,Trouble Man: Heavy Is The Head,Live On Tonight (Ft. Victoria Monét)
T.I.,Trouble Man: Heavy Is The Head,Parlay (Ft. D.O.P.E.)
T.I.,Trouble Man: Heavy Is The Head,"Check This, Dig That (Ft. Trae tha Truth)"
T.I.,Paperwork,King
T.I.,Paperwork,G' Shit (Ft. Jeezy & Watch The Duck)
T.I.,Paperwork,About The Money (Ft. Young Thug)
T.I.,Paperwork,New National Anthem (Ft. Skylar Grey)
T.I.,Paperwork,Oh Yeah (Ft. Pharrell Williams)
T.I.,Paperwork,Private Show (Ft. Chris Brown)
T.I.,Paperwork,No Mediocre (Ft. Iggy Azalea)
T.I.,Paperwork,Jet Fuel (Ft. Boosie Badazz)
T.I.,Paperwork,Paperwork (Ft. Pharrell Williams)
T.I.,Paperwork,Stay (Ft. Victoria Monét)
T.I.,Paperwork,About My Issue (Ft. Nipsey Hussle & Victoria Monét)
T.I.,Paperwork,At Ya Own Risk (Ft. Usher)
T.I.,Paperwork,"On Doe, On Phil (Ft. Trae tha Truth)"
T.I.,Paperwork,Light Em Up (RIP Doe B) (Ft. Pharrell Williams & Watch The Duck)
T.I.,Paperwork,Let Your Heart Go (Break My Soul) (Ft. The-Dream)
T.I.,Paperwork,Sugar Cane
T.I.,Paperwork,I Don't Know
T.I.,Paperwork,You Can Tell How I Walk (Ft. Rick Ross)
T.I.,Paperwork,Turn it (Japan Bonus)
T.I.,Da' Nic (EP)
T.I.,Us Or Else (EP)
Chief Keef,Finally Rich,Love Sosa
Chief Keef,Finally Rich,Hallelujah
Chief Keef,Finally Rich,I Don't Like (Ft. Lil Reese)
Chief Keef,Finally Rich,No Tomorrow
Chief Keef,Finally Rich,Hate Bein' Sober (Ft. 50 Cent & Wiz Khalifa)
Chief Keef,Finally Rich,Kay Kay
Chief Keef,Finally Rich,Laughin' To The Bank
Chief Keef,Finally Rich,Diamonds (Ft. French Montana)
Chief Keef,Finally Rich,Ballin'
Chief Keef,Finally Rich,Understand Me (Ft. Jeezy)
Chief Keef,Finally Rich,3 Hunna (Album Version) (Ft. Rick Ross)
Chief Keef,Finally Rich,Finally Rich
Chief Keef,Finally Rich,Citgo
Chief Keef,Finally Rich,Kobe
Chief Keef,Finally Rich,Got Them Bands
Chief Keef,Finally Rich,Don't Make No Sense (Ft. Fat Trel & Master P)
Chief Keef,Finally Rich,Savage
Chief Keef,Bang 3,Laurel Canyon
Chief Keef,Bang 3,Cappin
Chief Keef,Bang 3,Unstoppable
Chief Keef,Bang 3,Superheroes (Ft. A$AP Rocky)
Chief Keef,Bang 3,Singing To The Cheese
Chief Keef,Bang 3,Pick One
Chief Keef,Bang 3,New School
Chief Keef,Bang 3,Facts
Chief Keef,Bang 3,I Just Wanna (Ft. Mac Miller)
Chief Keef,Bang 3,Yes
Chief Keef,Bang 3,Ain't Missing You (Ft. Jenn Em)
Chief Keef,Bang 3,Million$
Chief Keef,Bang 3,Go Harder
Chief Keef,Bang 3,Green Light
Chief Keef,Bang 3,Bang 3 (Part 1 & Part 2) [Album Art + Tracklist]
The Game,Jesus Piece,Scared Now (Ft. Meek Mill)
The Game,Jesus Piece,Ali Bomaye (Ft. 2 Chainz & Rick Ross)
The Game,Jesus Piece,Jesus Piece (Ft. Common & Kanye West)
The Game,Jesus Piece,Pray (Ft. J. Cole & JMSN)
The Game,Jesus Piece,Church (Ft. King Chip & Trey Songz)
The Game,Jesus Piece,"All That (Lady) (Ft. Big Sean, Fabolous, Jeremih & Lil Wayne)"
The Game,Jesus Piece,Heaven's Arms
The Game,Jesus Piece,Name Me King (Ft. Pusha-T)
The Game,Jesus Piece,See No Evil (Ft. Kendrick Lamar & Tank)
The Game,Jesus Piece,Can't Get Right (Ft. K. Roosevelt)
The Game,Jesus Piece,Hallelujah (Ft. Jamie Foxx)
The Game,Jesus Piece,Freedom (Ft. Elijah Blake)
The Game,Jesus Piece,"Celebration (Ft. Chris Brown, Lil Wayne, Tyga & Wiz Khalifa)"
The Game,Jesus Piece,I Remember (Ft. Future & Jeezy)
The Game,Jesus Piece,Blood Diamonds
The Game,Jesus Piece,Dead People
The Game,Jesus Piece,Blood of Christ
The Game,Jesus Piece,Holy Water
The Game,Jesus Piece,Jesus Piece Album Art
The Game,The Documentary 2,Intro (The Documentary 2)
The Game,The Documentary 2,On Me (Ft. Kendrick Lamar)
The Game,The Documentary 2,Step Up (Ft. DeJ Loaf & Sha Sha)
The Game,The Documentary 2,"Don't Trip (Ft. Dr. Dre, Ice Cube & ​will.i.am)"
The Game,The Documentary 2,Standing on Ferraris (Ft. Puff Daddy)
The Game,The Documentary 2,Dollar and a Dream (Ft. Ab-Soul)
The Game,The Documentary 2,Made in America (Ft. Marcus Black)
The Game,The Documentary 2,Hashtag (Ft. Jelly Roll (Big Baby))
The Game,The Documentary 2,"Circles (Ft. Eric Bellinger, Q-Tip & Sha Sha)"
The Game,The Documentary 2,Uncle (Skit)
The Game,The Documentary 2,Dedicated (Ft. Future & Sonyaè Elise)
The Game,The Documentary 2,Bitch You Ain't Shit
The Game,The Documentary 2,Summertime (Ft. Jelly Roll (Big Baby))
The Game,The Documentary 2,Mula (Ft. Kanye West)
The Game,The Documentary 2,The Documentary 2
The Game,The Documentary 2,"New York, New York"
The Game,The Documentary 2,100 (Ft. Drake)
The Game,The Documentary 2,Just Another Day (The Documentary 2)
The Game,The Documentary 2,"LA (Ft. Fergie, Snoop Dogg & ​will.i.am)"
The Game,The Documentary 2,The Documentary 2  [Booklet]
The Game,The Documentary 2,The Documentary 2 Album Art + Tracklist
The Game,The Documentary 2.5,New York Skit
The Game,The Documentary 2.5,Magnus Carlsen (Ft. Anderson .Paak)
The Game,The Documentary 2.5,Crenshaw / 80s and Cocaine (Ft. Anderson .Paak & Sonyaè Elise)
The Game,The Documentary 2.5,Gang Bang Anyway (Ft. Jay Rock & ScHoolboy Q)
The Game,The Documentary 2.5,The Ghetto (Ft. Nas & ​will.i.am)
The Game,The Documentary 2.5,From Adam (Ft. Lil Wayne)
The Game,The Documentary 2.5,Gang Related (Ft. Asiahn)
The Game,The Documentary 2.5,Last Time You Seen (Ft. Scarface & Stacy Barthe)
The Game,The Documentary 2.5,Intoxicated (Ft. Deion)
The Game,The Documentary 2.5,"Quik's Groove (The One) (Ft. DJ Quik, MICAH & Sevyn Streeter)"
The Game,The Documentary 2.5,"Outside (Ft. E-40, Lil Eazy-E & Marcus Black)"
The Game,The Documentary 2.5,"Up On the Wall (Ft. Problem, Ty Dolla $ign & YG)"
The Game,The Documentary 2.5,Sex Skit
The Game,The Documentary 2.5,"My Flag/Da Homies (Ft. AD, Jay 305, Joe Moses, Mitchy Slick, RJ, Skeme & Ty Dolla $ign)"
The Game,The Documentary 2.5,"Moment of Violence (Ft. Jon Connor, Justus & King Mez)"
The Game,The Documentary 2.5,"Like Father, Like Son 2 (Ft. Busta Rhymes)"
The Game,The Documentary 2.5,Life
The Game,The Documentary 2.5,El Chapo (Ft. Skrillex)
The Game,The Documentary 2.5,The Documentary 2.5 (Album Art + Tracklist)
The Game,Blood Moon: Year Of The Wolf,Bigger Than Me
The Game,Blood Moon: Year Of The Wolf,F.U.N.
The Game,Blood Moon: Year Of The Wolf,"Really (Ft. 2 Chainz, Soulja Boy, T.I. & Yo Gotti)"
The Game,Blood Moon: Year Of The Wolf,Fuck Yo Feelings (Ft. Chris Brown & Lil Wayne)
The Game,Blood Moon: Year Of The Wolf,On One (Ft. King Marie & Ty Dolla $ign)
The Game,Blood Moon: Year Of The Wolf,"Married To The Game (Ft. French Montana, Quincey White & Sam Hook)"
The Game,Blood Moon: Year Of The Wolf,The Purge (Ft. Stacy Barthe)
The Game,Blood Moon: Year Of The Wolf,Trouble On My Mind (Ft. Jake&Papa & Quincey White)
The Game,Blood Moon: Year Of The Wolf,Cellphone (Ft. Quincey White)
The Game,Blood Moon: Year Of The Wolf,Best Head Ever (Ft. Eric Bellinger & Tyga)
The Game,Blood Moon: Year Of The Wolf,"Or Nah (Ft. AV, Eric Bellinger, King Marie, Problem & Too $hort)"
The Game,Blood Moon: Year Of The Wolf,Take That (Ft. Pharaoh Jackson & Tyga)
The Game,Blood Moon: Year Of The Wolf,Food For My Stomach by Skeme (Ft. Quincey White)
The Game,Blood Moon: Year Of The Wolf,"Hit Em Hard (Ft. Bobby Shmurda, Freddie Gibbs & Skeme)"
The Game,Blood Moon: Year Of The Wolf,Black On Black (Ft. Jeezy & Kevin Gates)
The Game,Blood Moon: Year Of The Wolf,Mad Flows (Ft. Skeme)
The Game,Blood Moon: Year Of The Wolf,Bloody Moon (Ft. Shateish)
The Game,Blood Moon: Year Of The Wolf,"I Just Wanna Be [Bonus Track] (Ft. King Marie, Sap & Stat Quo)"
The Game,Blood Moon: Year Of The Wolf,"Be Nobody Else (Ft. AV, Stacy Barthe & Uiie)"
The Game,Blood Moon: Year Of The Wolf,"Or Nah (German Version) (Ft. Eric Bellinger, Kollegah, Problem & Too $hort)"
The Game,Blood Moon: Year Of The Wolf,"Blood Moon: Year Of The Wolf Album [Art + Tracklist] (Ft. 2 Chainz, AV, Bobby Shmurda, Chris Brown, Eric Bellinger, Freddie Gibbs, French Montana, Jeezy, Kevin Gates, Lil Wayne, Problem, Skeme, Soulja Boy, T.I., Too $hort, Ty Dolla $ign, Tyga & Yo Gotti)"
The Game,1992,Savage Lifestyle
The Game,1992,True Colors / It's On (Ft. Osbe Chill)
The Game,1992,Bompton
The Game,1992,Fuck Orange Juice (Ft. Lorine Chia)
The Game,1992,The Juice (Ft. Lorine Chia)
The Game,1992,Young Niggas (Ft. Sonyaè Elise)
The Game,1992,The Soundtrack (1992) (Ft. Lorine Chia)
The Game,1992,I Grew Up on Wu-Tang (Ft. Lorine Chia)
The Game,1992,However Do You Want It
The Game,1992,Baby You (Ft. Jason Derulo)
The Game,1992,What Your Life Like
The Game,1992,92 Bars
The Game,1992,All Eyez (Ft. Jeremih)
The Game,1992,1992 [Tracklist + Album Art]
Kendrick Lamar,"good kid, m.A.A.d city",Sherane a.k.a Master Splinter's Daughter
Kendrick Lamar,"good kid, m.A.A.d city","Bitch, Don't Kill My Vibe"
Kendrick Lamar,"good kid, m.A.A.d city",Backseat Freestyle
Kendrick Lamar,"good kid, m.A.A.d city",The Art of Peer Pressure
Kendrick Lamar,"good kid, m.A.A.d city",Money Trees (Ft. Jay Rock)
Kendrick Lamar,"good kid, m.A.A.d city",Poetic Justice (Ft. Drake)
Kendrick Lamar,"good kid, m.A.A.d city",​good kid
Kendrick Lamar,"good kid, m.A.A.d city",​m.A.A.d city (Ft. MC Eiht)
Kendrick Lamar,"good kid, m.A.A.d city",Swimming Pools (Drank)
Kendrick Lamar,"good kid, m.A.A.d city","Sing About Me, I'm Dying of Thirst"
Kendrick Lamar,"good kid, m.A.A.d city",Real (Ft. Anna Wise)
Kendrick Lamar,"good kid, m.A.A.d city",Compton (Ft. Dr. Dre)
Kendrick Lamar,"good kid, m.A.A.d city",The Recipe (Ft. Dr. Dre)
